"","duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_serror_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","class"
"11",0.000459128390663165,0,0.111111111111111,0,3.00285148097509e-06,0.00033192708929109,0,0,0,0,0,1,0,1,0,0.000267809319764328,0.02,0.5,0,0,0,0,0.00195694716242661,0.00195694716242661,0,0,0,0,1,0,0,0.270588235294118,0.00784313725490196,0.03,0.06,0.01,0,0,0,0,0,0
"21",0,0.5,0.037037037037037,0,1.6298004320534e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025440313111546,0.00195694716242661,0,0,0,0,0.08,0.15,0,1,0.00392156862745098,0,0.6,0.88,0,0,0,0,0,1
"41",0,0,0.0740740740740741,0,2.58981986463279e-06,0.0011599663776212,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00978473581213307,0.00978473581213307,0.2,0.2,0,0,1,0,0,0.117647058823529,1,1,0,0.03,0.04,0.03,0.01,0,0.01,1
"53",0,0,0.0740740740740741,0,2.2214403149221e-06,5.97554125599048e-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0587084148727984,0.0626223091976517,0,0,0,0,1,0,0.09,1,1,1,0,0,0,0,0,0,0,1
"135",0,0,0.0740740740740741,0,3.20378578081729e-06,0.000320260556362728,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00587084148727984,0.0136986301369863,0,0,0,0,1,0,0.43,0.0313725490196078,0.858823529411765,1,0,0.12,0.03,0,0,0,0,1
"171",0,0,0.0740740740740741,0,3.34890499736999e-06,0.00196168482946659,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0156555772994129,0.0176125244618395,0,0.11,0,0,1,0,0.22,0.356862745098039,1,1,0,0.01,0.02,0,0,0,0,1
"193",0,0,0.0740740740740741,0,2.60098288129069e-06,8.7641271754527e-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00587084148727984,0.00587084148727984,0,0,0,0,1,0,0,0.258823529411765,1,1,0,0.02,0.03,0,0,0.02,0,1
"207",0,0,0.0740740740740741,0,3.82891471365969e-06,0.000167599704751352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0176125244618395,0.0195694716242661,0,0,0,0,1,0,0.2,0.615686274509804,1,1,0,0.01,0.04,0,0,0,0,1
"236",0,0,0.0740740740740741,0,2.82424321444869e-06,0.00169378139648968,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0156555772994129,0.0195694716242661,0,0,0,0,1,0,0.2,0.341176470588235,1,1,0,0.01,0.02,0,0,0,0,1
"243",0.102973315457935,0.5,0.037037037037037,0,1.6409634487113e-06,1.49388531399762e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195694716242661,0.00195694716242661,0,0,0,0,1,0,0,1,0.00392156862745098,0,0.85,1,0,0,0,0,0,1
"264",0.00931112376264899,0,0.111111111111111,0,4.87823827950229e-06,0.00205174477268187,0,0,0,0,0,1,0.000401123144805455,0,0,0,0,0,0.111111111111111,0,0,0,0.00195694716242661,0.00195694716242661,0,0,0,0,1,0,0,1,0.0980392156862745,0.1,0.05,0,0,0.53,0,0.02,0.16,1
"282",0,0,0.0740740740740741,0,2.53400478134329e-06,0.00093730632843965,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00978473581213307,0.0430528375733855,0,0,0,0,1,0,0.18,0.168627450980392,1,1,0,0.02,0.14,0,0,0.56,0.57,1
"292",0,0,0.0740740740740741,0,2.4000485814485e-06,0.00149374303920581,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0273972602739726,0.0273972602739726,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
