"","duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_serror_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","class"
"3",3.67302712530532e-05,0,0,0,0.000144929445269515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195694716242661,0.00195694716242661,0,0,0,0,1,0,0,0.525490196078431,0.337254901960784,0.61,0.04,0.61,0.02,0,0,0,0,1
"6",0,0,0.0740740740740741,0,2.98052544765929e-06,0.00206511860311195,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00782778864970646,0.00782778864970646,0,0,0,0,1,0,0,0.607843137254902,1,1,0,0.01,0.03,0.01,0,0,0,1
"7",0,0,0.222222222222222,0,1.14086030243738e-05,5.5060344430198e-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00195694716242661,0.00587084148727984,0,0,0,0,1,0,1,1,0.109803921568627,0.11,0.72,0,0,0,0,0.72,0.04,1
"9",0,0,0.0740740740740741,0,3.65030644713329e-06,6.64423277749418e-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0645792563600783,0.0919765166340509,0,0,0,0,1,0,0.04,0.592156862745098,1,1,0,0.01,0.03,0,0,0,0,1
"12",0,0,0.222222222222222,0,6.87641826126639e-06,4.69506812970681e-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00195694716242661,0.00391389432485323,0,0,0,0,1,0,1,1,0.505882352941176,0.51,0.03,0,0,0,0,0.33,0,1
"15",0.000679510018181484,0,0.111111111111111,0,8.62901187655668e-06,0.051816479176946,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00195694716242661,0.00195694716242661,0,0,0,0,1,0,0,0.149019607843137,0.286274509803922,0.16,0.05,0.03,0.04,0,0.77,0,0.07,1
"16",0,0,0.0740740740740741,0,3.90705583026499e-06,0.000513611998431563,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0156555772994129,0.0156555772994129,0,0,0,0,1,0,0,0.27843137254902,1,1,0,0.01,0.04,0,0,0,0,1
"173",0,0,0.0740740740740741,0,2.3777225481327e-06,9.37590878023268e-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0469667318982387,0.0469667318982387,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
"18",0,0,0.0740740740740741,0,2.74610209784339e-06,0.000297354314881431,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0313111545988258,0.0313111545988258,0,0,0,0,1,0,0,0.137254901960784,1,1,0,0.03,0.05,0,0,0,0,1
"199",0,0.5,0.185185185185185,0,5.02335749605499e-07,6.26009083960907e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98825831702544,0.98825831702544,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1
"237",0,0,0.0740740740740741,0,2.1879512649484e-06,0.000259366945468349,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0332681017612524,0.0332681017612524,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
"244",0,0,0.0740740740740741,0,3.09215561423829e-06,0.000258371021925684,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0332681017612524,0.0352250489236791,0,0,0,0,1,0,0.11,0.141176470588235,1,1,0,0.03,0.02,0,0,0,0,1
